example_id,model,mode,score,argmax_window,n_windows,n_tokens,latency_ms,prefix_tokens,output_room,device
7b8c2773603ffa85,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.0017704623751342297,0,1,148,17.744750017300248,38,472,mps
7b8c2773603ffa85,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.0017704623751342297,0,1,148,17.809333046898246,38,472,mps
fb802b1afbf14c44,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.001726169022731483,0,1,92,12.675874982960522,31,479,mps
fb802b1afbf14c44,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.001726169022731483,0,1,92,12.555875000543892,31,479,mps
1953b31d11c3b11c,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.002046793233603239,0,1,178,21.834332961589098,42,468,mps
1953b31d11c3b11c,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.002046793233603239,0,1,178,21.382167004048824,42,468,mps
0d3fcc163517ed93,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.0014224397018551826,0,1,111,14.093166100792587,37,473,mps
0d3fcc163517ed93,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.0014224397018551826,0,1,111,14.073792030103505,37,473,mps
16c4c0b5132c007b,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.0021638444159179926,0,1,144,17.408667015843093,37,473,mps
16c4c0b5132c007b,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.0021638444159179926,0,1,144,17.35550002194941,37,473,mps
8c191fd112a81d68,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.0021560501772910357,0,1,156,18.592625041492283,33,477,mps
8c191fd112a81d68,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.0021560501772910357,0,1,156,18.23179190978408,33,477,mps
6516c497336a6507,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.0029597936663776636,0,1,148,18.361874972470105,41,469,mps
6516c497336a6507,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.0029597936663776636,0,1,148,17.74033298715949,41,469,mps
7a647912438bc848,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.003564998274669051,0,1,111,15.093000023625791,43,467,mps
7a647912438bc848,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.003564998274669051,0,1,111,14.486375031992793,43,467,mps
af2ad48c4651f694,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.004814838524907827,0,1,192,22.950791055336595,41,469,mps
af2ad48c4651f694,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.004814838524907827,0,1,192,22.55224995315075,41,469,mps
73734e76f2ba5f61,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.0011886062566190958,0,1,123,15.11116698384285,30,480,mps
73734e76f2ba5f61,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.0011886062566190958,0,1,123,15.066749998368323,30,480,mps
b2c873e66bd082fc,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.013854355551302433,0,1,81,12.401708983816206,31,479,mps
b2c873e66bd082fc,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.013854355551302433,0,1,81,12.075915932655334,31,479,mps
b876c9f735b96ba1,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.0034071137197315693,0,1,117,14.624333009123802,27,483,mps
b876c9f735b96ba1,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.0034071137197315693,0,1,117,14.613791019655764,27,483,mps
f2f1bc26bc5e8322,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.004880343098193407,0,1,108,13.867750065401196,38,472,mps
f2f1bc26bc5e8322,meta-llama/Llama-Prompt-Guard-2-86M+ctx,chunk,0.004880343098193407,0,1,108,13.789542019367218,38,472,mps
63aaf43d396e065c,meta-llama/Llama-Prompt-Guard-2-86M+ctx,truncate,0.0017886807909235358,0,1,101,13.734541018493474,28,482,mps
