example_id,model,mode,score,argmax_window,n_windows,n_tokens,latency_ms,prefix_tokens,output_room,device
7b8c2773603ffa85,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.0021169206593185663,0,1,151,8.922250010073185,37,473,mps
7b8c2773603ffa85,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.0021169206593185663,0,1,151,9.299000026658177,37,473,mps
fb802b1afbf14c44,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.0024217835161834955,0,1,88,6.929166964255273,25,485,mps
fb802b1afbf14c44,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.0024217835161834955,0,1,88,7.653499953448772,25,485,mps
1953b31d11c3b11c,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.0025508515536785126,0,1,182,10.720500024035573,36,474,mps
1953b31d11c3b11c,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.0025508515536785126,0,1,182,10.92491706367582,36,474,mps
0d3fcc163517ed93,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.002180880168452859,0,1,107,7.178250001743436,33,477,mps
0d3fcc163517ed93,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.002180880168452859,0,1,107,7.757292012684047,33,477,mps
16c4c0b5132c007b,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.003291686996817589,0,1,140,8.386958041228354,31,479,mps
16c4c0b5132c007b,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.003291686996817589,0,1,140,8.568999939598143,31,479,mps
8c191fd112a81d68,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.001664343406446278,0,1,163,9.613791014999151,31,479,mps
8c191fd112a81d68,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.001664343406446278,0,1,163,9.73591604270041,31,479,mps
6516c497336a6507,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.0025359976571053267,0,1,146,8.843832998536527,37,473,mps
6516c497336a6507,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.0025359976571053267,0,1,146,8.886291063390672,37,473,mps
7a647912438bc848,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.0026890416629612446,0,1,119,7.876624935306609,40,470,mps
7a647912438bc848,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.0026890416629612446,0,1,119,7.457541069015861,40,470,mps
af2ad48c4651f694,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.0022433463018387556,0,1,198,11.818666942417622,38,472,mps
af2ad48c4651f694,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.0022433463018387556,0,1,198,11.965292040258646,38,472,mps
73734e76f2ba5f61,meta-llama/Llama-Prompt-Guard-2-22M+ctx,truncate,0.0020596859976649284,0,1,121,7.687791949138045,29,481,mps
73734e76f2ba5f61,meta-llama/Llama-Prompt-Guard-2-22M+ctx,chunk,0.0020596859976649284,0,1,121,7.487499970011413,29,481,mps
