example_id,model,mode,score,matched_patterns,n_windows,latency_ms,device
7b8c2773603ffa85,keyword_generic,full,1.0,5,1,0.03958295565098524,cpu
fb802b1afbf14c44,keyword_generic,full,1.0,5,1,0.018666964024305344,cpu
1953b31d11c3b11c,keyword_generic,full,1.0,5,1,0.038207974284887314,cpu
0d3fcc163517ed93,keyword_generic,full,1.0,5,1,0.024333945475518703,cpu
16c4c0b5132c007b,keyword_generic,full,1.0,5,1,0.026209047064185143,cpu
8c191fd112a81d68,keyword_generic,full,1.0,5,1,0.033374992199242115,cpu
6516c497336a6507,keyword_generic,full,1.0,5,1,0.028665992431342602,cpu
7a647912438bc848,keyword_generic,full,1.0,5,1,0.01879199407994747,cpu
af2ad48c4651f694,keyword_generic,full,1.0,5,1,0.03770797047764063,cpu
73734e76f2ba5f61,keyword_generic,full,1.0,5,1,0.024707987904548645,cpu
b2c873e66bd082fc,keyword_generic,full,1.0,5,1,0.01508404966443777,cpu
b876c9f735b96ba1,keyword_generic,full,1.0,5,1,0.022792024537920952,cpu
f2f1bc26bc5e8322,keyword_generic,full,1.0,5,1,0.0201669754460454,cpu
63aaf43d396e065c,keyword_generic,full,1.0,5,1,0.01908408012241125,cpu
4753c47767009d0f,keyword_generic,full,1.0,5,1,0.022500054910779,cpu
1b8b978f0c85feb1,keyword_generic,full,1.0,5,1,0.01845892984420061,cpu
3a9deb4d25a38c34,keyword_generic,full,1.0,5,1,0.010167015716433525,cpu
e33767c9834496e0,keyword_generic,full,0.0,,1,0.025209039449691772,cpu
f6b87a51e8ea98c0,keyword_generic,full,0.0,,1,0.01037493348121643,cpu
897c58878438a999,keyword_generic,full,0.0,,1,0.029250048100948334,cpu
8835a89897f57b30,keyword_generic,full,0.0,,1,0.014332938008010387,cpu
1a302ce4d0d9e36e,keyword_generic,full,0.0,,1,0.02691708505153656,cpu
5efce1faba5edc73,keyword_generic,full,0.0,,1,0.031125033274292946,cpu
e3159a4e028f5cba,keyword_generic,full,0.0,,1,0.02174999099224806,cpu
f5135ef80588c3ca,keyword_generic,full,0.0,,1,0.012750038877129555,cpu
8e350d7413dd7b31,keyword_generic,full,0.0,,1,0.032082898542284966,cpu
bd03dbfb63b41365,keyword_generic,full,0.0,,1,0.01845892984420061,cpu
edf9791d6626dc00,keyword_generic,full,0.0,,1,0.008333008736371994,cpu
9d7afba154ff47c4,keyword_generic,full,0.0,,1,0.01670804340392351,cpu
9f1b3fe8a85f5808,keyword_generic,full,0.0,,1,0.013999990187585354,cpu
256b4dbbd55e5bf8,keyword_generic,full,0.0,,1,0.012582982890307903,cpu
106dbd1ee31292bc,keyword_generic,full,0.0,,1,0.01629104372113943,cpu
14bb4c02fee95029,keyword_generic,full,0.0,,1,0.012499978765845299,cpu
4a22e3c5d3d48972,keyword_generic,full,0.0,,1,0.003999914042651653,cpu
784b8a6204a9e313,keyword_generic,full,0.0,,1,0.040958053432404995,cpu
9a63c9a3997e168d,keyword_generic,full,0.0,,1,0.024916022084653378,cpu
10bf7be1b5dc10d7,keyword_generic,full,0.0,,1,0.04316703416407108,cpu
a9d69e91f73717f8,keyword_generic,full,0.0,,1,0.0374580267816782,cpu
c77c5771e90960a0,keyword_generic,full,0.0,,1,0.03379106055945158,cpu
0b9e3a169dfeb75e,keyword_generic,full,0.0,,1,0.04066701512783766,cpu
4a6ac5f3992805e2,keyword_generic,full,0.0,,1,0.03612495493143797,cpu
98ae550c227c69a0,keyword_generic,full,0.0,,1,0.02654106356203556,cpu
7737f5333ce9f8e1,keyword_generic,full,0.0,,1,0.046042026951909065,cpu
5bf9221dc65e9b9a,keyword_generic,full,0.0,,1,0.03283401019871235,cpu
160db6777a266306,keyword_generic,full,0.0,,1,0.023333006538450718,cpu
1d08374f605a49b4,keyword_generic,full,0.0,,1,0.03529200330376625,cpu
153b57cae66550cb,keyword_generic,full,0.0,,1,0.027957954443991184,cpu
511160901a1a1857,keyword_generic,full,0.0,,1,0.026374938897788525,cpu
f05d942f012f64e2,keyword_generic,full,0.0,,1,0.04075001925230026,cpu
94949cc0ae9c6c27,keyword_generic,full,0.0,,1,0.026333029381930828,cpu
da90ea897b3f3ac5,keyword_generic,full,0.0,,1,0.017707934603095055,cpu
