example_id,model,mode,score,matched_patterns,n_windows,latency_ms,device
7b8c2773603ffa85,keyword_template_aware,full,1.0,5,1,0.05700008478015661,cpu
fb802b1afbf14c44,keyword_template_aware,full,1.0,5,1,0.027542002499103546,cpu
1953b31d11c3b11c,keyword_template_aware,full,1.0,5,1,0.05337502807378769,cpu
0d3fcc163517ed93,keyword_template_aware,full,1.0,5,1,0.03458396531641483,cpu
16c4c0b5132c007b,keyword_template_aware,full,1.0,5,1,0.03999995533376932,cpu
8c191fd112a81d68,keyword_template_aware,full,1.0,5,1,0.05012494511902332,cpu
6516c497336a6507,keyword_template_aware,full,1.0,5,1,0.04295795224606991,cpu
7a647912438bc848,keyword_template_aware,full,1.0,5,1,0.02870894968509674,cpu
af2ad48c4651f694,keyword_template_aware,full,1.0,5,1,0.0576250022277236,cpu
73734e76f2ba5f61,keyword_template_aware,full,1.0,5,1,0.03816594835370779,cpu
b2c873e66bd082fc,keyword_template_aware,full,1.0,5,1,0.0415419926866889,cpu
b876c9f735b96ba1,keyword_template_aware,full,1.0,5,1,0.03812497016042471,cpu
f2f1bc26bc5e8322,keyword_template_aware,full,1.0,5,1,0.04287506453692913,cpu
63aaf43d396e065c,keyword_template_aware,full,1.0,5,1,0.07375003769993782,cpu
4753c47767009d0f,keyword_template_aware,full,1.0,5,1,0.04383304622024298,cpu
1b8b978f0c85feb1,keyword_template_aware,full,1.0,5,1,0.028583919629454613,cpu
3a9deb4d25a38c34,keyword_template_aware,full,1.0,5,1,0.015167053788900375,cpu
e33767c9834496e0,keyword_template_aware,full,0.0,,1,0.03900006413459778,cpu
f6b87a51e8ea98c0,keyword_template_aware,full,0.0,,1,0.015666009858250618,cpu
897c58878438a999,keyword_template_aware,full,0.0,,1,0.044291955418884754,cpu
8835a89897f57b30,keyword_template_aware,full,0.0,,1,0.021499930880963802,cpu
1a302ce4d0d9e36e,keyword_template_aware,full,0.0,,1,0.02970895729959011,cpu
5efce1faba5edc73,keyword_template_aware,full,0.0,,1,0.03970903344452381,cpu
e3159a4e028f5cba,keyword_template_aware,full,0.0,,1,0.0315000070258975,cpu
f5135ef80588c3ca,keyword_template_aware,full,0.0,,1,0.018457998521625996,cpu
8e350d7413dd7b31,keyword_template_aware,full,0.0,,1,0.047042034566402435,cpu
bd03dbfb63b41365,keyword_template_aware,full,0.0,,1,0.027957954443991184,cpu
